Recipient,DI_dest_orgtype,DI_dest_ngotype,DI_dest_deliverychannel,destinationObjects_Organization.id
Croix Rouge RDC,Red Cross,,RCRC,4885
Croix-Rouge du Tchad,Red Cross,,RCRC,2959
Cross Cathoilc Outreach,NGOs,International NGO,NGOs and CSOs,420
Cross International Cathoilc Outreach,NGOs,,NGOs and CSOs,NA
Crown Agents,Private sector corporations,,Other,1829
CRRDC-TD,Other,,Other,6889
CTM,NGOs,International NGO,NGOs and CSOs,8938
Cuba,National government,,Public Sector,4840
Cultivating New Frontiers in Agriculture,NGOs,International NGO,NGOs and CSOs,7060
Culture and Free Thought Association,NGOs,,NGOs and CSOs,2612
Cumberland Pharmaceuticals Inc,Private sector corporations,,Other,1925
Custodia Franciscana,Private individual/organisation,,NGOs and CSOs,3445
Custodia Franciscana en Tierra Santa,NGOs,,NGOs and CSOs,4559
Custodian of Two Holy Mosques Relief Campaign,NGOs,Southern International NGO,NGOs and CSOs,1414
CWS Japan,NGOs,International NGO,NGOs and CSOs,1228
Cyprus,National government,,,2922
Cyprus Red Cross,Red Cross,,RCRC,4008
Czech Evang. Diacony,NGOs,International NGO,NGOs and CSOs,376
Czech Red Cross,Red Cross,,RCRC,3088
Czech Republic,DAC governments,,Public Sector,2932
D irect Relief of Poverty and Sickness Foundation,NGOs,International NGO,NGOs and CSOs,4354
Daaralsalam Development Association,NGOs,,NGOs and CSOs,112
DAC - Danish Afghan Committee,NGOs,,NGOs and CSOs,5350
DAC Aviation International,Private sector corporations,,Other,4643
Dag Hammarskjold Scholarship Fund for Journalists,Other,,Other,5809
Damascus People Participation,NGOs,,NGOs and CSOs,801
Danchurchaid / Danish De-mining Group,NGOs,International NGO,NGOs and CSOs,3535
Danidas Health Sector Programme Support,DAC governments,,Public Sector,2460
Daniela Punz,Other,,Other,3206
Danish Assistance to Afghan Rehabilitation and Technical,NGOs,,,5206
Danish Assistance to the Self-Reliance Strategy,DAC governments,,Public Sector,3359
Danish Association for International Co-operation,NGOs,,NGOs and CSOs,4417
Danish Bilharziasis Laboratory,Academia/think/research,,NGOs and CSOs,2780
Danish Committee for Aid to Afghan Refugees,NGOs,International NGO,NGOs and CSOs,4516
Danish De-mining Centre,NGOs,,NGOs and CSOs,2875
Danish De-mining Group,NGOs,International NGO,NGOs and CSOs,5314
Danish Emergency Relief Fund,DAC governments,,Public Sector,10269
Danish Ethiopian Mission,DAC governments,,Public Sector,3857
Danish Fellowship Centre,DAC governments,,Public Sector,5023
Danish Institute for Human Rights,Academia/think/research,,NGOs and CSOs,1482
Danish International Life Saving Association,NGOs,,NGOs and CSOs,1311
Danish Mission Council Development,NGOs,International NGO,NGOs and CSOs,62
Danish People's Aid,NGOs,,NGOs and CSOs,2485
Danish People's Relief Association,NGOs,,NGOs and CSOs,3194
Danish Powerlines,Private sector corporations,,Other,54
Danish Production School,Academia/think/research,,NGOs and CSOs,2521
Danish Red Cross,Red Cross,,RCRC,2054
Danish Refugee Board,NGOs,,NGOs and CSOs,5313
Danish Refugee Council,NGOs,International NGO,NGOs and CSOs,5298
Danish Refugee Council | Danish De-mining Group,NGOs,International NGO,NGOs and CSOs,NA
Danish Refugee Council/AFS Danish People's Aid,NGOs,,NGOs and CSOs,52
Danish Refugee Council/ICVA,NGOs,,NGOs and CSOs,3239
Danmission,NGOs,,NGOs and CSOs,7158
Danube Commission,Other multi,,Other multi,22
Darfur Development and Reconstruction Agency,,,,5857
Darfur Development and Reconstruction Agency (DDRA),NGOs,National NGO,NGOs and CSOs,NA
Dary Human Organization for Relief and Medical Care,NGOs,National NGO,NGOs and CSOs,8285
Darya Organization for Developing Woman and Community,NGOs,,NGOs and CSOs,537
Datong,Private sector corporations,,Other,3570
dawa Islamic organization,NGOs,,NGOs and CSOs,5775
DCP-TV,Private sector corporations,,Other,1954
DDPS,DAC governments,,Public Sector,2520
De Norske Pinsemenigheters Ytremisjon,NGOs,,NGOs and CSOs,2107
Deeg-Roor Medical Organization,NGOs,National NGO,NGOs and CSOs,8210
Defense for Children International,NGOs,,NGOs and CSOs,2241
DEH Relief and Development Organization,NGOs,National NGO,NGOs and CSOs,NA
Dejarup,Other,,Other,361
Delvon Assistance for Social Harmony (DASH),NGOs,,NGOs and CSOs,593
Demining Agency for Afghanistan,NGOs,,NGOs and CSOs,7
DEMIRA,NGOs,,NGOs and CSOs,4615
Democracy School,Undefined,,NGOs and CSOs,772
Democratic Control of Armed Forces,Foundations,,NGOs and CSOs,638
Democratic Iraqi Women Group,NGOs,,NGOs and CSOs,4473
Democratic Republic of the Congo Humanitarian Fund,CBPF,,UN Multi,7654
Demos Institute,Academia/think/research,,NGOs and CSOs,1945
Den norske Advokatforening,Private individual/organisation,,NGOs and CSOs,1853
Den Norske Dommerforeningen,Private individual/organisation,,NGOs and CSOs,3669
Den norske forfatterforening,Private individual/organisation,,NGOs and CSOs,5208
Den norske Helsingforskomite,NGOs,,NGOs and CSOs,2692
Den Norske Kirke,Private individual/organisation,,NGOs and CSOs,382
Den norske lægeforening - UD-tilskudd,Other,,Other,1507
Den norske Tibet-komite,Other,,Other,3749
DENAL,Other,,Other,2544
Deniz Feneri Association,NGOs,,NGOs and CSOs,4487
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,Other,,Other,4941
Denmark,DAC governments,,Public Sector,3776
Department of Ecumenical Relations and Development,Foundations,,NGOs and CSOs,6908
Department of Settlement and Regional Infrastructure (Kimpraswil),National government,,Public Sector,4802
Desert Locust Control Organization for Eastern Africa,Other multi,,Other multi,6910
Det Norske Menneskerettighetsfond,NGOs,,NGOs and CSOs,2691
Det norske Misjonsforbund,NGOs,,NGOs and CSOs,3145
Deutsche Gesellschaft für Internationale Zusammenarbeit,DAC governments,,Public Sector,2987
Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs,International NGO,NGOs and CSOs,4389
Deutsche Welthungerhilfe e.V. (German Agro Action) | Concern Worldwide | Agency for Technical Cooperation and Development,NGOs,,,NA
Deutscher Entwicklungsdienst,DAC governments,,Public Sector,NA
Deutsches Institute für Arztliche Mission,Private individual/organisation,,NGOs and CSOs,3593
Deutsches Komitee fur Katastrophenvorsorge e.V.,DAC governments,,Public Sector,2649
Devcon,Other,,Other,2827
Development Aid from People to People,NGOs,,NGOs and CSOs,2035
Development Alternatives Inc.,Private sector corporations,,Other,4409
Development and Ability Organization,NGOs,National NGO,NGOs and CSOs,7259
Development and Empowerment for Humanity formerly (DEH Relief and Development Organization),NGOs,National NGO,NGOs and CSOs,4117
Development and Inter-Church Aid Commission,NGOs,National NGO,NGOs and CSOs,7530
Development and Peace,NGOs,International NGO,NGOs and CSOs,4353
Development and Regeneration Association,NGOs,,NGOs and CSOs,7595
Development Associates Inc.,NGOS,,NGOs and CSOs,3759
Development Education Network for Liberia,NGOs,,NGOs and CSOs,3426
Development for People and Nature Association,NGOs,,,11485
Development Frontiers International,NGOs,,NGOs and CSOs,6613
Development Fund,NGOs,,NGOs and CSOs,6267
Development Initiatives,Academia/think/research,,NGOs and CSOs,1830
Development Initiatives Access Link,Other,,Other,5292
Development of Palestinian Farmer Association - Deir Albalah,Other,,Other,3880
Development Workshop,NGOs,,NGOs and CSOs,5367
Developmental Action Without Border (Nabaa),NGOs,National NGO,NGOs and CSOs,6069
Developpement & Paix,NGOs,,NGOs and CSOs,1339
DF Young Inc.,Private sector corporations,,Other,NA
dfYOUNG Logistics,Private sector corporations,,Other,120
Dhaka Ahsania Mission,NGOs,National NGO,NGOs and CSOs,8935
DHL International,Private sector corporations,,Other,228
DIA,Other,,Other,4671
DIA - Social Justice in Development,NGOs,,NGOs and CSOs,5070
Diakonia World Federation,Foundations,,NGOs and CSOs,5299
DIAKONISCHES WERK DER EKD,NGOs,,NGOs and CSOs,6992
Dialog Forening,Other,,Other,6192
Dialog International e.V.,Private sector corporations,,Other,3829
Diamer Poverty Alleviation Programme,NGOs,,NGOs and CSOs,2943
Digicel Foundation,Foundations,,NGOs and CSOs,NA
Digicel Group,Private sector corporations,,Other,1603
DIGNI,NGOs,,NGOs and CSOs,6553
Dinah Falala & Phoebe Sandi Foundation,Foundations,,NGOs and CSOs,4242
DIOBASS,Other,,Other,3339
Diocese de Hwange,Private individual/organisation,,NGOs and CSOs,4138
Diocese of Ambikapur,Private individual/organisation,,NGOs and CSOs,4003
Diocese of Eldoret,Private individual/organisation,,NGOs and CSOs,1735
Diocese of Gbarnga,Private individual/organisation,,NGOs and CSOs,4984
Diocese of Meru,Other,,Other,552
Diocese of Padang,Private individual/organisation,,NGOs and CSOs,2587
Diocese of Rumbek,Private individual/organisation,,NGOs and CSOs,3838
DIOTIMA Centre of research on Women's Issues,NGOs,National NGO,NGOs and CSOs,7098
Diplomat Freight Services,Private sector corporations,,Other,2673
Diplomatische Akademie Wien,Academia/think/research,,NGOs and CSOs,4649
Direct Aid,NGOs,Southern International NGO,NGOs and CSOs,4120
Direct Focus Community Aid,NGOs,National NGO,NGOs and CSOs,6117
Direct Relief,NGOs,,NGOs and CSOs,2898
Disabled Children's Care Organization,NGOs,,NGOs and CSOs,3861
Disaster Emergency Committee Afghanistan Crisis Appeal,,,,12421
Disaster Emergency Committee Coronavirus Appeal,NGOs,,,11501
Disaster Mitigation Institute,NGOs,,NGOs and CSOs,3190
Disaster Prevention and Preparedness Commission Ethiopia,National government,,Public Sector,2997
Disaster Relief Agency,NGOs,,NGOs and CSOs,2462
Disasters Emergency Committee (UK),NGOs,,NGOs and CSOs,2759
Disasters Emergency Committee Cyclone Idai,CERF,,UN Multi,10302
Dissimilis kult.og komp.senter,Other,,Other,3152
Distribuidora Ambiente,Other,,Other,1420
Div. Assoc.,Other,,Other,4434
Div. E+CIS,Other,,Other,1275
Dividendo Voluntario para la Comunidad,NGOs,,,11210
Diálogo Diverso,NGOs,National NGO,NGOs and CSOs,9878
Djibouti,National government,,Public Sector,3606
Djibouti Red Crescent Society,Red Cross,,RCRC,4426
DKKV - German Committee for Disaster Reduction,DAC governments,,Public Sector,3937
DMR,Private sector corporations,,Other,2530
Docs Heal Africa,NGOs,,NGOs and CSOs,2583
"DOCS HEAL AFRICA, Goma",NGOs,,NGOs and CSOs,3118
Doctors Aid Medical Activities,NGOs,Local NGO,NGOs and CSOs,3891
Doctors of the World,NGOs,International NGO,NGOs and CSOs,NA
Doctors of the World Turkey ( Dünya DoktorlarÄ± DerneÄŸi ),NGOs,,,NA
Doctors Worldwide,NGOs,,NGOs and CSOs,1415
Documentation Center of  Cambodia,NGOs,,NGOs and CSOs,2240
Dolphin for Development,Undefined,,Other,7085
Dominica,National government,,Public Sector,8381
Dominica Red Cross Society,Red Cross,,RCRC,2154
Dominican Republic,National government,,Public Sector,5307
Donbas SOS,NGOs,National NGO,NGOs and CSOs,7302
Donegal Peace Centre,Other,,Other,5269
Dorcas Aid International,NGOs,International NGO,NGOs and CSOs,3293
DORCAS ESPERANCE - Centre de réinsertion sociale d'enfants en détresse,NGOs,,,5365
Double Harvest,NGOs,,NGOs and CSOs,4241
Douleurs san Frontières,NGOs,,NGOs and CSOs,3939
DROPS,NGOs,,NGOs and CSOs,NA
DryLands Coordination Group,Private individual/organisation,,NGOs and CSOs,5198
DSI - Danish Council of Organizations of Disabled People,NGOs,,NGOs and CSOs,9
Dummar Youth Charity,NGOs,National NGO,NGOs and CSOs,9955
Durrell Wildlife Conservation Trust,NGOs,International NGO,NGOs and CSOs,11097
Dutch International Aid,DAC governments,,Public Sector,1878
Dutch Relief Alliance,NGOs,International NGO,NGOs and CSOs,8207
DWF,Other,,Other,NA
DWF Foundation,Foundations,,Other,4647
Dynasafe International Group,Private sector corporations,,Other,9391
DZI - German Central Institute for Social Issues,DAC governments,,Public Sector,4127
Développement Endogène Durable et Innovation,NGOs,Southern International NGO,NGOs and CSOs,9420
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,Other multi,,Other multi,2527
Eagle Global Logistics,Private sector corporations,,Other,2210
Eastern Community Development and Humanitarian Organization,NGOs,,NGOs and CSOs,909
EAUR,Other,,Other,3338
Eaux de Marseille (Société des),Other,,Other,3756
Ebola Response Multi-Partner Trust Fund,Other pooled,,Other multi,1002
Echelle appui au développement,Other,,Other,1776
Echo Medical AUD,Private sector corporations,,Other,9749
Ecole Polytechnique Fédérale De Lausanne,Academia/think/research,,NGOs and CSOs,4599
Economic & Social Development Centre of Palestine,NGOs,National NGO,NGOs and CSOs,3648
Economic Research Forum,Academia/think/research,,NGOs and CSOs,6202
Ecuador,National government,,Public Sector,4841
Ecuadorian Red Cross,Red Cross,,RCRC,3571
Edinburgh Direct Aid,NGOs,,NGOs and CSOs,4101
Edith Wilkins Hope Foundation,Foundations,,NGOs and CSOs,3794
EDM,Other,,Other,3351
EducAid Onlus,NGOs,International NGO,NGOs and CSOs,528
Education Above All Foundation,Foundations,,NGOs and CSOs,7173
Education Action International,NGOs,,NGOs and CSOs,2281
Education Cannot Wait Fund,Foundations,,Other,8773
Education Cannot Wait Fund | United Nations Children's Fund,Undefined,,,NA
Education Development Center,Academia/think/research,,NGOs and CSOs,37
Education Health Social Awareness & Rehabilitation Foundation,NGOs,Local NGO,NGOs and CSOs,6435
Education Health Social Awareness and Rehabilitation,NGOs,National NGO,NGOs and CSOs,NA
"Education, Health, Social Awareness and Rehabilitation Foundation",NGOs,National NGO,NGOs and CSOs,NA
"Educo - Fundación Educación y Cooperación, ChildFund Alliance member",NGOs,International NGO,NGOs and CSOs,9414
Egypt,National government,,Public Sector,4825
Egyptian Red Crescent Society,Red Cross,,RCRC,2055
Eid Charity,NGOs,,NGOs and CSOs,5827
"Eine Welt Kreis, Zell an der Pram",Other,,Other,4005
Eine Welt-öö Landlerhilfe,Other,,Other,3208
EITI - Extractive Industry Transparency Initiative,Other multi,,Other multi,2375
El Barde Primary Helath Care Organization,Other,,Other,660
El Obeid,National government,,Public Sector,2833
El Ruhama Organization for Development and Humanitarian Aid,NGOs,National NGO,NGOs and CSOs,1550
El Salvador,National government,,Public Sector,3796
Electriciens sans frontières,NGOs,International NGO,NGOs and CSOs,651
ELIMU,Other,,Other,2201
EliseCare,NGOs,International NGO,NGOs and CSOs,8133
ELRHA,Academia/think/research,,,11410
Emdad Social Association for Development,NGOs,,,8299
Emergencies Unit for Ethiopia,National government,,Public Sector,2853
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,NGOs,International NGO,NGOs and CSOs,7351
Emergency Action Uganda,Other,,Other,4064
Emergency Architects,NGOs,,NGOs and CSOs,4170
Emergency Development Network,NGOs,,,8071
Emergency Medical Care for Affected People,NGOs,Southern International NGO,NGOs and CSOs,9249
Emergency Nutrition Network,Academia/think/research,,NGOs and CSOs,57
Emergency ONG,NGOs,International NGO,NGOs and CSOs,377
Emergency Organization Group Copenhagen,Other,,Other,3025
Emergency Relief and Development Organization,NGOs,International NGO,NGOs and CSOs,3060
Emergency Relief International,NGOs,,NGOs and CSOs,1910
"Emergency Relief, Rehabilitation and Development Agency",NGOs,National NGO,NGOs and CSOs,1153
Emergency Response Centre International,NGOs,National NGO,NGOs and CSOs,8734
Emmanuel International,NGOs,,NGOs and CSOs,4727
Emmanuel International of Canada,NGOs,,NGOs and CSOs,NA
Emmaüs International,NGOs,,NGOs and CSOs,2411
Empowering Vulnerable Society Organization,NGOs,Undefined NGO,NGOs and CSOs,6781
Energy Regulators Regional Association,Private individual/organisation,,NGOs and CSOs,4619
Enfance Tiers Monde asbl,NGOs,,NGOs and CSOs,5218
Enfants de Cusco,NGOs,,NGOs and CSOs,2841
Enfants des rizières,NGOs,,NGOs and CSOs,4648
Enfants du Monde,NGOs,International NGO,NGOs and CSOs,3185
Enfants du Monde - Droits de l'Homme,NGOs,,NGOs and CSOs,3496
Enfants et Développement,NGOs,,NGOs and CSOs,2413
Enfants Refugies du Monde,NGOs,,NGOs and CSOs,2860
Enfants sans Frontières,NGOs,National NGO,NGOs and CSOs,1168
Eng Oppen Hand fir Malawi,NGOs,International NGO,NGOs and CSOs,3416
Engineers Without Borders,NGOs,International NGO,NGOs and CSOs,6404
Enjaz foundation for development,NGOs,Local NGO,NGOs and CSOs,8032
Ensemble Contre la Peine de Mort,Private individual/organisation,,NGOs and CSOs,381
Ente Nazionale Giuseppini del Murialdo,NGOs,International NGO,NGOs and CSOs,6842
Entrepreneurs du Monde,NGOs,,NGOs and CSOs,4971
Entrepreneurs Organization for Relief and Development,NGOs,National NGO,NGOs and CSOs,8346
Environment Africa,NGOs,,NGOs and CSOs,3871
EP-Team,Other,,Other,1736
EPER - Swiss Church Aid,NGOs,International NGO,NGOs and CSOs,3442
EPI-Center,NGOs,,NGOs and CSOs,2293
"Episcopal Conference, Peru",Academia/think/research,,NGOs and CSOs,4038
Episcopal Relief and Development,Private individual/organisation,,NGOs and CSOs,1306
Equatorial Guinea,National Government,,Public Sector,296
Equilibre,Foundations,,NGOs and CSOs,4574
EQUIP Liberia,NGOs,,NGOs and CSOs,2743
EQUITAS - International Centre for Human Rights Education,Academia/think/research,,NGOs and CSOs,3655
ERF Recipients,Other pooled,,Other multi,1326
ERIC,NGOs,,NGOs and CSOs,2218
Erika Weissenböck,Other,,Other,3205
"Erikshjälpen, Sweden",NGOs,,NGOs and CSOs,4637
Eritrea,National government,,Public Sector,3192
Ernesto Sabato Foundation,Foundations,,NGOs and CSOs,4718
Espana con ACNUR,UN Multi,,UN Multi,3014
ESPE,Other,,Other,3434
Esperanza International Foundation,NGOs,,NGOs and CSOs,568
Espérance,NGOs,National NGO,NGOs and CSOs,7009
Estijabah Network for Humanitarian Aid and Relief,NGOs,National NGO,NGOs and CSOs,9806
Estonia Red Cross,Red Cross,,RCRC,4514
Estonian Public Service Academy,National government,,Public Sector,4632
Estonian Refugee Council,NGOs,International NGO,NGOs and CSOs,3098
Estonian Science Park Tehnopol,Private sector corporations,,Other,8914
ETANA Press,NGOs,,NGOs and CSOs,6137
Ethiopia,National government,,Public Sector,1573
Ethiopia Humanitarian Fund,CBPF,,UN Multi,7874
Ethiopian Catholic Church Social and Development Commission - Caritas Ethiopia,NGOs,,,11975
Ethiopian Evangelical Church Mekane Yesus Development and Social Services Commission,NGOs,National NGO,NGOs and CSOs,9453
Ethiopian Muslims Relief and Development Association,NGOs,,NGOs and CSOs,3860
Ethiopian Red Cross Society,Red Cross,,RCRC,4425
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),EC,,Public Sector,6936
EU Special Representative,EC,,Public Sector,8602
Eugene Bell Foundation,Foundations,,NGOs and CSOs,3222
Eurest Personalrestauranter AS,Private sector corporations,,Other,1512
Euro-Mediterranean Foundation of Support to Human Rights Defenders,Foundations,,NGOs and CSOs,710
EuronAid,NGOs,,NGOs and CSOs,4498
European Agency for Reconstruction,EC,,Public Sector,8557
European Centre for Common Ground/Common Ground,NGOs,,NGOs and CSOs,149
European Centre for Conflict Prevention,NGOs,,NGOs and CSOs,3830
European Children's Trust,NGOs,,NGOs and CSOs,NA
European Commission,EC,,Public Sector,2966
European Commission - EU Facility for Refugees in Turkey,EC,,Public Sector,8650
European Commission Civil Protection Mechanism,EC,,Public Sector,8421
European Commission's Humanitarian Aid and Civil Protection Department,EC,,Public Sector,8523
European Grassroots Antiracist Movement,Other,,Other,734
European Investment Bank,Other multi,,Other multi,8541
European Meeting Centre - Nowy Staw Foundation,Foundations,,NGOs and CSOs,8086
European Perspective,NGOs,,NGOs and CSOs,3815
European Union Border Assistance Mission,EC,,Public Sector,8469
European Union trust fund Bekou in CAR,EC,,Public Sector,NA
European Union Trust Fund Bêkou for the Central African Republic,Other pooled,,Other multi,6789
Ev. Zentralstelle e.V.,Private sector corporations,,Other,4427
Evangelical Children Rehabilitation Programme,NGOs,,NGOs and CSOs,3901
Evangelical Development Programme,Private individual/organisation,,NGOs and CSOs,3793
Evangelical Fellowship of India Commission on Relief,Private individual/organisation,,NGOs and CSOs,4739
Evangelisches Missionswerk in Deutschland,NGOs,International NGO,NGOs and CSOs,9888
Evangelisches Werk für Diakonie und Entwicklung e.V.,NGOs,International NGO,NGOs and CSOs,6902
EXNORA,NGOs,,NGOs and CSOs,3531
Expertise France,DAC governments,,Public Sector,9376
Experts Comptables Associés,Other,,Other,936
Fact Mutare,NGOs,,NGOs and CSOs,2850
FAFO,Academia/think/research,,NGOs and CSOs,2811
Faire Face,Private individual/organisation,,NGOs and CSOs,3323
FAIRMED Foundation,Foundations,,NGOs and CSOs,1590
Faisal Educational Society,NGOs,Local NGO,NGOs and CSOs,11078
Family Charitable Organisation,Private individual/organisation,,NGOs and CSOs,2014
Family Empowerment and Relief Organisation,Private individual/organisation,,NGOs and CSOs,4407
Family for Every Child - European Children's Trust,NGOs,International NGO,NGOs and CSOs,1896
Family Health International - FHI 360,NGOs,International NGO,NGOs and CSOs,4279
Family Planning Organization of the Philippines,NGOs,,NGOs and CSOs,5927
Famine Early Warning Sytem,Academia/think/research,,NGOs and CSOs,6257
Famine Relief Fund,Other pooled,,,11988
Fangak Community Development Initiative,NGOs,,NGOs and CSOs,989
FAREM,Other,,Other,4945
FARM Africa,NGOs,,NGOs and CSOs,2815
Farm Community Trust of Zimbabwe,NGOs,,NGOs and CSOs,1984
Farmer's Life Development Agency,NGOs,National NGO,NGOs and CSOs,6045
Farmers Integrated Development Association,Private individual/organisation,,NGOs and CSOs,6356
Faros Organizaton,NGOs,National NGO,NGOs and CSOs,8736
Fashoda Youth Forum,NGOs,National NGO,NGOs and CSOs,1869
Fathurahman Charitable Association,NGOs,Local NGO,NGOs and CSOs,11077
Fayyaa Integrated Development Organization,NGOs,,,11470
Fazilia Trust Pakistan,Other,,Other,5811
FED. I. D. Ligues/Droits l'homme,NGOs,,NGOs and CSOs,1856
Federación Internacional Fe y Alegrí­a,NGOs,,NGOs and CSOs,NA
Federation des ONG laiques Á  Vocation Economique du Congo,NGOs,,,NA
Federation des ONG laiques í  Vocation Economique du Congo,NGOs,,NGOs and CSOs,NA
Federation Handicap International. Direction Aide Humanitaire,NGOs,International NGO,NGOs and CSOs,8646
Federation of Women Lawyers in Kenya,Private individual/organisation,,NGOs and CSOs,5329
FedEx,Private sector corporations,,Other,208
Feed My Starving Children,NGOs,,NGOs and CSOs,5525
Feed the Children,NGOs,,NGOs and CSOs,3324
Feinstein Center,Academia/think/research,,NGOs and CSOs,2731
Fellowship for African Relief,NGOs,,NGOs and CSOs,2171
Femmes Unies contre la Malnutrition - Kundji Fondo,NGOs,Local NGO,NGOs and CSOs,9532
FERT,Other,,Other,3435
FGMed,NGOs,,NGOs and CSOs,2647
FICASE,Foundations,,NGOs and CSOs,413
Fida International,NGOs,International NGO,NGOs and CSOs,3252
Fida International | ZOA,NGOs,International NGO,NGOs and CSOs,NA
FIDCON,Private individual/organisation,,NGOs and CSOs,4254
Field Medical Foundation,NGOs,National NGO,NGOs and CSOs,7894
Fiji,National government,,Public Sector,4912
Fiji Institution of Engineers,Academia/think/research,,NGOs and CSOs,4750
Fiji Muslim League,NGOs,,,11552
Fiji Red Cross Society,Red Cross,,RCRC,5276
FilmAid International,NGOs,International NGO,NGOs and CSOs,3292
Filoxenia International,NGOs,National NGO,NGOs and CSOs,8737
Finca,Other,,Other,4267
Finnish Red Cross,Red Cross,,RCRC,2057
Finnish Refugee Council,NGOs,,,4832
Firemen without Borders,NGOs,,NGOs and CSOs,3136
First Step Action for Children Initiative,NGOs,,,11473
Fishermen of Christ Incorporated Philippines,NGOs,,NGOs and CSOs,4006
Flakstad Kommune,Other,,Other,189
Fleet Forum,Academia/think/research,,NGOs and CSOs,7588
Floresta Ayiti [Plant With Purpose],Private individual/organisation,,NGOs and CSOs,1808
Florida International University,Academia/think/research,,NGOs and CSOs,4453
Flüchtlingshilfe Langen e.V.,NGOs,,NGOs and CSOs,2405
FMYY,Private individual/organisation,,NGOs and CSOs,NA
FMYY Media Kobe,,,,800
FOCUS Humanitarian Aid,NGOs,,NGOs and CSOs,4936
Focus Humanitarian Assistance,NGOs,International NGO,NGOs and CSOs,6279
FOCUS International,NGOs,,NGOs and CSOs,4421
Foley Hoag LLP,Private sector corporations,,Other,440
Fondacioni Miresia,Undefined,,Other,7963
Fondasyon Kole Zepol,Foundations,,NGOs and CSOs,3700
Fondation Caritas Luxembourg,NGOs,International NGO,NGOs and CSOs,4124
Fondation Chreschte mam Sahel,Foundations,,NGOs and CSOs,NA
Fondation de France,Foundations,,NGOs and CSOs,4134
Fondation de l'Ordre de Malte pour le Liban,Undefined,,NGOs and CSOs,4484
Fondation Femmes plus,Foundations,,NGOs and CSOs,2580
Fondation Hirondelle,Foundations,,NGOs and CSOs,4604
Fondation Humanitaire Internationale AICM Ukraine,NGOs,International NGO,NGOs and CSOs,7079
Fondation Internationale Carrefour,Foundations,,NGOs and CSOs,4401
Fondation Luxembourgeoise Raoul Follereau,Foundations,,NGOs and CSOs,4521
Fondation Meninos e Meninas de Rua,Foundations,,NGOs and CSOs,458
Fondation Orient Occident,NGOs,,NGOs and CSOs,5186
FONDATION POUR L INSTITUT,Foundations,,NGOs and CSOs,3662
Fondation pour le Développement et l'Encadrement des Familles Haitiennes,Foundations,,NGOs and CSOs,6606
Fondation Raoul Follereau,Foundations,,NGOs and CSOs,6764
Fondation Suisse pour le Déminage,NGOs,International NGO,NGOs and CSOs,1914
Fondazione â€œOpera San Francesco Saverioâ€ CUAMM,NGOs,International NGO,NGOs and CSOs,NA
Fondazione “Opera San Francesco Saverio† CUAMM,NGOs,,,NA
Fonds Arménien de France,Foundations,,Other,12005
Fonds dâ€™Intervention pour le Développement,NGOs,,,NA
Fonds d’Intervention pour le Développement,NGOs,National NGO,NGOs and CSOs,7075
Fonds voor OntwikkelingsSamenwerking,NGOs,,NGOs and CSOs,2641
FONKOZE,NGOs,,NGOs and CSOs,5212
Food & Agriculture Organization of the United Nations,UN Multi,,UN Multi,4399
Food & Agriculture Organization of the United Nations | World Food Programme,UN Multi,,UN Multi,NA
Food Agriculture and Disaster Management,NGOs,Local NGO,NGOs and CSOs,9663
Food for the Hungry,NGOs,International NGO,NGOs and CSOs,1503
Food for the Hungry International,NGOs,International NGO,NGOs and CSOs,3343
Food for the Poor,NGOs,,NGOs and CSOs,4700
Food Security Network,NGOs,,NGOs and CSOs,4732
For All Foundation,NGOs,National NGO,NGOs and CSOs,6010
For Human Development - Yemen,Other,,Other,7904
Forced Migration Review,Academia/think/research,,NGOs and CSOs,4967
Formal Education Network for Private Schools,NGOs,National NGO,NGOs and CSOs,1133
Foro Femenino Ma Maeztu,Other,,Other,3255
Forsvarets forskningsinstitutt,DAC governments,,Public Sector,3630
Fortis International Care,Private sector corporations,,Other,12082
Forum for African Women Educationalist Gambia Chapter,NGOs,,NGOs and CSOs,6830
Forum of the Handicapped Association,NGOs,,,11483
FORUT,NGOs,,NGOs and CSOs,2770
Forward Edge International,NGOs,,NGOs and CSOs,562
FOSENET - NGO Food Security Network - Zimbabwe,NGOs,,NGOs and CSOs,2085
Foster Parents Plan Canada,Private individual/organisation,,NGOs and CSOs,176
Foundation for Co-existence,Foundations,,NGOs and CSOs,2558
Foundation for European Development Assistance,Foundations,,NGOs and CSOs,2643
Foundation for Innovative New Diagnostic,NGOs,,,NA
Foundation for Innovative New Diagnostics,NGOs,International NGO,NGOs and CSOs,11812
Foundation for Refugee Economic Empowerment,NGOs,International NGO,NGOs and CSOs,9871
Foundation for Rural Development,NGOs,National NGO,NGOs and CSOs,4194
Foundation for the Future,Foundations,,NGOs and CSOs,6481
Foundation for the Peoples of the South Pacific International,Foundations,,NGOs and CSOs,410
Foundation for the Refugee Trust,Foundations,,NGOs and CSOs,2724
Foundation Limmat,Foundations,,NGOs and CSOs,4348
Foundation of the United for Relief and Adiding Development,Other,,Other,1388
Foundation Politeon,Foundations,,NGOs and CSOs,4506
Foundation Signs,Foundations,,NGOs and CSOs,1285
