id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,sourceObjects_Plan.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Emergency.code,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
25,332287,2001,,financial,2001-02-28T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,To strengthen the People to People Peace Process: bringing about the cessation of local inter-communal and ethnic conflicts to increase civil capacities for peace-building,,0.68,2001-02-28T00:00:00Z,Standard,Humanitarian aid,TRUE,225955,GBP,Traditional aid,,commitment,2011-01-31T18:15:00Z,1,incoming,single,,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,26479,Multi-sector,single,,,,212,Sudan,single,,,,2918,ACT Alliance / Christian Aid,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary,"United Kingdom, Government of",Other,2001-02-28T00:00:00.000Z
250,20606,2001,,financial,2001-04-03T00:00:00Z,2001-02-11T00:00:00Z,2001-02-11T00:00:00Z,Mine awareness training for teachers  [through Swiss Disaster Relief Unit],,1.650005,2001-02-11T00:00:00Z,Standard,Humanitarian aid,TRUE,34000,CHF,Traditional aid,,commitment,2011-04-07T11:35:00Z,1,incoming,single,7F-01436.01,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,15,Protection - Mine Action,single,,,,,,,,,,,,,,,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Switzerland, Government of",NA,2001-02-11T00:00:00.000Z
2500,30000,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,Cash from Reserve Fund,,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,110,Italy,single,,,,3774,"Italy, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Italy, Government of; Office for the Coordination of Humanitarian Affairs",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2501,30000,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,Cash from Reserve Fund,,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,61,Denmark,single,,,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Office for the Coordination of Humanitarian Affairs; Denmark, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2502,30000,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,Cash from Reserve Fund,,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,167,Norway,single,,,,2930,"Norway, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Norway, Government of; Office for the Coordination of Humanitarian Affairs",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
251,216748,2001,,financial,2001-04-03T00:00:00Z,2001-03-13T00:00:00Z,2001-03-13T00:00:00Z,Rehabilitation of 100 destroyed houses for returnees,,,2001-03-14T00:00:00Z,Standard,Humanitarian aid,TRUE,236473,EUR,Traditional aid,,commitment,2001-04-03T00:00:00Z,1,incoming,single,HRV 02/01,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,4,Emergency Shelter and NFI,single,,,,,,,,,,2992,German Red Cross,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Germany, Government of",NA,2001-03-14T00:00:00.000Z
2514,0,,,in kind,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Second shipment of emergency supplies like beds, blankets, medicines, foodstuff and clothes*",,,2001-04-23T00:00:00Z,Standard,Bilateral aid,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,175,Peru,single,,,,85,"Peru, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,67,El Salvador,single,,,,3796,"El Salvador, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Peru, Government of; NA",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2515,3000000,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,Cash,,,2001-04-23T00:00:00Z,Standard,Food|Bilateral aid,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,209,Spain,single,,,,5319,"Spain, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,3796,"El Salvador, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"NA; Spain, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2516,88611,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - IEP 75,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,107,Ireland,single,,,,3009,"Ireland, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,3431,GOAL,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Ireland, Government of; GOAL",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2517,88611,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - IEP 75,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,107,Ireland,single,,,,3009,"Ireland, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,1504,Concern Worldwide,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Ireland, Government of; Concern Worldwide",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2518,177222,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - IEP 150,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,107,Ireland,single,,,,3009,"Ireland, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,2497,Trocaire,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Ireland, Government of; Trocaire",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2519,331125,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - CAD 500,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,40,Canada,single,,,,2928,"Canada, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,2907,Canadian Red Cross Society,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Canadian Red Cross Society; Canada, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
252,345122,2001,,financial,2001-04-03T00:00:00Z,2001-02-08T00:00:00Z,2001-02-08T00:00:00Z,Rehabilitation of 115 destroyed houses for returnees,,,2001-02-09T00:00:00Z,Standard,Humanitarian aid,TRUE,375493,EUR,Traditional aid,,commitment,2001-04-03T00:00:00Z,1,incoming,single,ASHH 321.5,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,4,Emergency Shelter and NFI,single,,,,,,,,,,3000,Technisches Hilfswerk (THW),single,Multilateral Organizations,Other Multilateral Organizations,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Germany, Government of",NA,2001-02-09T00:00:00.000Z
2520,30487,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - CHF 50,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,229,Türkiye,single,,,,4819,"Türkiye, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,4393,International Federation of Red Cross and Red Crescent Societies,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Türkiye, Government of; International Federation of Red Cross and Red Crescent Societies",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2521,33810,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - ATS 500,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,15,Austria,single,,,,4546,"Austria, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,2051,Austrian Red Cross,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Austrian Red Cross; Austria, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2522,5201535,,,in kind,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Local purchase of blankets, plastic sheeting, funding for CARE and CHF shelter programs, value of technical specialists and equipment",,,2001-04-23T00:00:00Z,Standard,Food|Bilateral aid,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,3796,"El Salvador, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"NA; United States of America, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
253,250725,2001,,financial,2001-04-03T00:00:00Z,2001-03-23T00:00:00Z,2001-03-23T00:00:00Z,Rehabilitation of 90 destroyed houses for returnees,,,2001-03-16T00:00:00Z,Standard,Humanitarian aid,TRUE,273541,EUR,Traditional aid,,commitment,2001-04-03T00:00:00Z,1,incoming,single,HRV 03/01,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,4,Emergency Shelter and NFI,single,,,,,,,,,,2920,Arbeiter-Samariter-Bund Deutschland e.V,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Germany, Government of",NA,2001-03-16T00:00:00.000Z
2537,89917,1997,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - DEM 189,000 for roof construction, plastic foil, mattresses, blankets",,,2001-04-23T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2002-03-06T00:00:00Z,1,incoming,single,,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,4,Emergency Shelter and NFI,single,,,,67,El Salvador,single,,,,4758,Terre des Hommes International,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Germany, Government of; Terre des Hommes International",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2538,47120,1997,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - SEK 450,000 for food, water, shelter and transport",,,2001-04-23T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2002-03-06T00:00:00Z,1,incoming,single,,216,Sweden,single,,,,2921,"Sweden, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,26479,Multi-sector,single,,,,67,El Salvador,single,,,,5299,Diakonia World Federation,single,Private Organizations,International Private Organizations,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Diakonia World Federation; Sweden, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2539,0,,,in kind,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Dispatched an aircraft to transport 3 tons of food donated by Nestle and 1.2 tons of medical supplies including medicines and vaccines donated by FURP/SP, Health Department of the State of Sau Paulo and by FIOCRUZ/RJ*",,,2001-04-23T00:00:00Z,Standard,Bilateral aid,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,32,Brazil,single,,,,4838,"Brazil, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,67,El Salvador,single,,,,3796,"El Salvador, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"NA; Brazil, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
254,242775,2001,,financial,2001-04-03T00:00:00Z,2000-12-28T00:00:00Z,2000-12-28T00:00:00Z,Special programmes for self-support for socially vulnerable,,,2001-01-12T00:00:00Z,Standard,Humanitarian aid,TRUE,2100000,DKK,Traditional aid,,commitment,2001-04-03T00:00:00Z,1,incoming,single,46.H.7.3-101,61,Denmark,single,,,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,26479,Multi-sector,single,,,,,,,,,,5313,Danish Refugee Board,single,NGOs,National NGOs/CSOs,Local and National Non-State Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Denmark, Government of",NA,2001-01-12T00:00:00.000Z
2540,91774,1997,,in kind,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Dispatched aircraft with 18 tons of various emergency humanitarian supplies like food, plastic sheeting, tents, first aid kits, water containers, raincoats",,,2001-04-23T00:00:00Z,Standard,Bilateral aid,TRUE,,,Traditional aid,,paid,2002-03-08T00:00:00Z,1,incoming,single,,175,Peru,single,,,,85,"Peru, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,26479,Multi-sector,single,,,,67,El Salvador,single,,,,3796,"El Salvador, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"NA; Peru, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2541,147058,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - GBP 100,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,3023,Scottish Catholic International Aid Fund,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"United Kingdom, Government of; Scottish Catholic International Aid Fund",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2542,147058,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - GBP 100,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,2918,ACT Alliance / Christian Aid,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"United Kingdom, Government of; ACT Alliance / Christian Aid",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2543,1427259,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - DEM 3,000,000 for low cost housing",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Other,,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Germany, Government of; Deutsche Gesellschaft für Internationale Zusammenarbeit",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
255,5624,2001,,financial,2001-04-03T00:00:00Z,2001-03-20T00:00:00Z,2001-03-20T00:00:00Z,"Procurement of 10,000 diapers for hospital (Institute for Mother and Child) in Belgrade",,,2001-03-21T00:00:00Z,Standard,Humanitarian aid,TRUE,6136,EUR,Traditional aid,,commitment,2001-04-03T00:00:00Z,1,incoming,single,YUG 13/01,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,7,Health,single,,,,,,,,,,2971,Kinderberg International e.V.,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Germany, Government of",NA,2001-03-21T00:00:00.000Z
2558,294117,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - GBP 200,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,2849,Save the Children,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"United Kingdom, Government of; Save the Children",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2559,73529,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - GBP 50,000",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,3369,Plan International,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Plan International; United Kingdom, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
256,48169,2001,,financial,2001-04-03T00:00:00Z,2001-02-16T00:00:00Z,2001-02-16T00:00:00Z,"Procurement and distribution of bread, milk, fruit for 12,700 students in 28 schools",,,2001-02-21T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,52407,EUR,Traditional aid,,commitment,2001-04-03T00:00:00Z,1,incoming,single,YUG 10/01,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,,,,,,,173,Malteser International Order of Malta World Relief,single,NGOs,International NGOs,International Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Germany, Government of",NA,2001-02-21T00:00:00.000Z
2560,951506,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - DEM 2,000,000 for food, drinking water, stoves, plastic sheets",,,2001-04-23T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Other,,,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Deutsche Gesellschaft für Internationale Zusammenarbeit; Germany, Government of",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
2561,318765,,,financial,2001-04-23T00:00:00Z,2001-01-01T00:00:00Z,2001-01-01T00:00:00Z,"Cash - EUR 342,577",,,2001-04-23T00:00:00Z,Standard,Food|Bilateral aid,TRUE,,,Traditional aid,,paid,2001-04-23T00:00:00Z,1,incoming,single,,209,Spain,single,,,,5319,"Spain, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,6,Food Security,single,,,,67,El Salvador,single,,,,3796,"El Salvador, Government of",single,Governments,National Governments,National and Sub-National State Actors,22,2001,single,,,,,,,,,,,,,,,,,,,,,,54,EL SALVADOR - Earthquakes - January/February 2001,single,,,,,Primary; Primary,"Spain, Government of; NA",Other; Other,2001-04-23T00:00:00.000Z; 2001-04-23T00:00:00.000Z
