id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.code,destinationObjects_Emergency.code,destinationObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes
13736,10000,,,financial,2003-04-07T00:00:00Z,2003-04-03T00:00:00Z,2003-04-03T00:00:00Z,Emergency cash grant,,,2003-04-07T00:00:00Z,Standard,,FALSE,,,Traditional aid,,paid,2003-04-07T00:00:00Z,1,internal,single,,,,,,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,24,2003,single,,,27,"Bolivia, Plurinational State of",single,,,,,192,BOLIVIA - Landslide - April 2003,single,,,,,,,,,,,,,,,,,,,
13737,20000,,,financial,2003-04-07T00:00:00Z,2003-04-03T00:00:00Z,2003-04-03T00:00:00Z,Cash from pre-positioned funds,,,2003-04-07T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2003-04-07T00:00:00Z,1,incoming,single,,167,Norway,single,,,2930,"Norway, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,24,2003,single,,,27,"Bolivia, Plurinational State of",single,,,,,192,BOLIVIA - Landslide - April 2003,single,,,,,,,,,,,,,,,,,,,
13739,0,,,in kind,2003-04-07T00:00:00Z,2003-04-03T00:00:00Z,2003-04-03T00:00:00Z,Rescue team*,,,2003-04-07T00:00:00Z,Standard,Bilateral aid,TRUE,,,Traditional aid,,paid,2003-04-07T00:00:00Z,1,incoming,single,,209,Spain,single,,,5319,"Spain, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,2897,"Bolivia, Government of",single,Government,24,2003,single,,,27,"Bolivia, Plurinational State of",single,,,National government,,192,BOLIVIA - Landslide - April 2003,single,,,,,,,,,,,,,,,,,,,
13742,0,,,in kind,2003-04-07T00:00:00Z,2003-04-03T00:00:00Z,2003-04-03T00:00:00Z,Needs assessment mission*,,,2003-04-07T00:00:00Z,Standard,Bilateral aid,TRUE,,,Traditional aid,,paid,2003-04-07T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,2897,"Bolivia, Government of",single,Government,24,2003,single,,,27,"Bolivia, Plurinational State of",single,,,National government,,192,BOLIVIA - Landslide - April 2003,single,,,,,,,,,,,,,,,,,,,
13746,0,,,in kind,2003-04-07T00:00:00Z,2003-04-04T00:00:00Z,2003-04-04T00:00:00Z,Dispatch of health team of medical workers*,,,2003-04-07T00:00:00Z,Standard,,FALSE,,,Traditional aid,,paid,2003-04-07T00:00:00Z,1,internal,single,,,,,,,4398,World Health Organization,single,UN agency,,24,2003,single,,,,,,,,,,,7,Health,single,,4398,World Health Organization,single,UN agency,24,2003,single,,,104,Indonesia,single,,,,,193,INDONESIA - Landslides - April 2003,single,,,,,,,,,,,,,,,,,,,
13748,0,,,in kind,2003-04-07T00:00:00Z,2003-04-04T00:00:00Z,2003-04-04T00:00:00Z,Assessment of coordination mechanisms and needs for external assistance*,,,2003-04-07T00:00:00Z,Standard,,FALSE,,,Traditional aid,,paid,2003-04-07T00:00:00Z,1,internal,single,,,,,,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,24,2003,single,,,104,Indonesia,single,,,,,193,INDONESIA - Landslides - April 2003,single,,,,,,,,,,,,,,,,,,,
13750,3390000,2003,,financial,2003-04-07T00:00:00Z,2003-04-01T00:00:00Z,2003-04-01T00:00:00Z,"Humanitarian assistance for the emergency medical activities through Japanese NGOs; provision of vehicles, pharmaceutical kits and potable water tanks",,,2003-04-07T00:00:00Z,Standard,,TRUE,,,Traditional aid,,commitment,2003-09-10T00:00:00Z,1,incoming,single,,112,Japan,single,,,4537,"Japan, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,4319,NGOs (details not yet provided),single,NGO,24,2003,single,,,106,Iraq,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
13753,0,2003,,financial,2003-04-07T00:00:00Z,2003-04-01T00:00:00Z,2003-04-01T00:00:00Z,Dispatch of JICA personnel (5) to provide technical (medical) cooperation (value not provided),,,2003-04-07T00:00:00Z,Standard,Bilateral aid,TRUE,,,Traditional aid,,commitment,2003-04-07T00:00:00Z,1,incoming,single,,112,Japan,single,,,4537,"Japan, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,2859,"Iraq, Government of",single,Government,24,2003,single,,,106,Iraq,single,,,National government,,,,,,,,,,,,,,,,,,,,,,,
13758,6458557,2003,,in kind,2003-04-07T00:00:00Z,2003-04-01T00:00:00Z,2003-04-01T00:00:00Z,Food aid,,,2003-04-07T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2003-09-17T00:00:00Z,1,incoming,single,,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3448,Food assistance (EMOP 10259.0),single,,IRQ-03/F01,NA,,,
13759,322928,2003,,financial,2003-04-07T00:00:00Z,2003-04-01T00:00:00Z,2003-04-01T00:00:00Z,"Non-food items, camp management and return transportation assistance for IDPs",,,2003-04-07T00:00:00Z,Standard,,TRUE,300000,EUR,Traditional aid,,paid,2003-04-25T00:00:00Z,1,incoming,single,,75,Finland,single,,,5295,"Finland, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,2986,International Organization for Migration,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3454,"Non-food items, camp management and return transportation assistance for IDPs",single,,IRQ-03/MS03,NA,,,
13760,564972,2003,,financial,2003-04-07T00:00:00Z,2003-04-01T00:00:00Z,2003-04-01T00:00:00Z,United Nations Logistics Centre (UNJLC),,,2003-04-07T00:00:00Z,Standard,,TRUE,1000000,NZD,Traditional aid,,paid,2003-04-07T00:00:00Z,1,incoming,single,,160,New Zealand,single,,,5369,"New Zealand, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26480,Coordination and support services,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3476,Common services,single,,IRQ-03/CSS01A,NA,,,
13761,1300000,2003,,financial,2003-04-07T00:00:00Z,2003-04-02T00:00:00Z,2003-04-02T00:00:00Z,Reproductive health support in emergency situation,,,2003-04-02T00:00:00Z,Standard,Humanitarian aid,TRUE,,,Traditional aid,,paid,2003-04-07T00:00:00Z,1,incoming,single,,112,Japan,single,,,4537,"Japan, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,7,Health,single,,4293,United Nations Population Fund,single,UN agency,24,2003,single,,,104,Indonesia,single,,,,,,,,,,NA,NA,NA,108,Indonesia 2003,single,,NA,2686,Reproductive health support in emergency situation,single,,INS-03/H03,NA,,,
13762,5083334,2003,,in kind,2003-04-08T00:00:00Z,2003-04-02T00:00:00Z,2003-04-02T00:00:00Z,"In kind - 15,820 MTs rice [PRRO 10069.0]",,,2003-04-07T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,,,Traditional aid,,paid,2003-05-05T00:00:00Z,1,incoming,single,,112,Japan,single,,,4537,"Japan, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,104,Indonesia,single,,,,,,,,,,NA,NA,NA,108,Indonesia 2003,single,,NA,2693,Assistance to IDPs/refugees; assistance to vulnerable groups and malnourished children (Revision of requirements is based upon the information from WFP/Rome),single,,INS-03/F01;F02,NA,,,
13763,5000000,2003,,financial,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,Logistics preparedness and augmentation in support of Regional EMOP 10259.0,,,2003-04-08T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2003-05-07T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26480,Coordination and support services,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3449,Logistics and support services (Special Operation 10257.1),single,,IRQ-03/F02,NA,,,
13764,28286072,2003,,financial,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,Logistics preparedness and augmentation in support of Regional EMOP 10259.0,,,2003-04-08T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2003-04-24T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26480,Coordination and support services,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3449,Logistics and support services (Special Operation 10257.1),single,,IRQ-03/F02,NA,,,
13765,4033000,2003,,financial,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,United Nation Humanitarian Air Services,,,2003-04-08T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2003-05-07T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26480,Coordination and support services,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3476,Common services,single,,IRQ-03/CSS01A,NA,,,
13766,1035000,2003,,financial,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,United Nations Joint Logistics Centre,,,2003-04-08T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2003-05-07T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26480,Coordination and support services,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3476,Common services,single,,IRQ-03/CSS01A,NA,,,
13767,2000000,2003,,in kind,2003-04-08T00:00:00Z,2003-04-01T00:00:00Z,2003-04-01T00:00:00Z,Food aid,,,2003-04-08T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2003-04-08T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3448,Food assistance (EMOP 10259.0),single,,IRQ-03/F01,NA,,,
13768,200000000,2003,,in kind,2003-04-08T00:00:00Z,2003-04-01T00:00:00Z,2003-04-01T00:00:00Z,Food aid,,,2003-04-08T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2003-09-17T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3448,Food assistance (EMOP 10259.0),single,,IRQ-03/F01,NA,,,
13769,19645949,2003,,in kind,2003-04-08T00:00:00Z,2003-04-01T00:00:00Z,2003-04-01T00:00:00Z,Food aid,,,2003-04-08T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2003-04-08T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3448,Food assistance (EMOP 10259.0),single,,IRQ-03/F01,NA,,,
13770,757800,2003,,in kind,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,"In kind - 1,300 MTs wheat flour; 725 MTs pulses [PRRO 06087.1]",,,2003-04-07T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,,,Traditional aid,,paid,2003-07-23T00:00:00Z,1,incoming,single,,157,Netherlands,single,,,3008,"Netherlands, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,220,Tajikistan,single,,,,,,,,,,NA,NA,NA,103,Tajikistan 2003,single,,NA,2554,Protracted Relief and Recovery Operation - food assistance to vulnerable groups and recovery activities (incl. school feeding programme) PRRO 6087.01 / PRRO 10231.0 (Revision of requirements is based upon the information from WFP/Rome),single,,TJK-03/F01,NA,,,
13771,570469,2003,,in kind,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,In kind - 579 MTs vegetable oil [PRRO 10231.0],,,2003-04-07T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,,,Traditional aid,,paid,2003-05-05T00:00:00Z,1,incoming,single,,40,Canada,single,,,2928,"Canada, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,220,Tajikistan,single,,,,,,,,,,NA,NA,NA,103,Tajikistan 2003,single,,NA,2554,Protracted Relief and Recovery Operation - food assistance to vulnerable groups and recovery activities (incl. school feeding programme) PRRO 6087.01 / PRRO 10231.0 (Revision of requirements is based upon the information from WFP/Rome),single,,TJK-03/F01,NA,,,
13772,4273504,2003,,in kind,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,"In kind - 12,826MTs wheat flour; 768 MTs pulses [PRRO 10231.0]",,,2003-04-07T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,,,Traditional aid,,paid,2003-08-19T00:00:00Z,1,incoming,single,,112,Japan,single,,,4537,"Japan, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,220,Tajikistan,single,,,,,,,,,,NA,NA,NA,103,Tajikistan 2003,single,,NA,2554,Protracted Relief and Recovery Operation - food assistance to vulnerable groups and recovery activities (incl. school feeding programme) PRRO 6087.01 / PRRO 10231.0 (Revision of requirements is based upon the information from WFP/Rome),single,,TJK-03/F01,NA,,,
13773,662367,2003,,in kind,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,Food aid,,,2003-04-08T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2003-04-08T00:00:00Z,1,incoming,single,,40,Canada,single,,,2928,"Canada, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3448,Food assistance (EMOP 10259.0),single,,IRQ-03/F01,NA,,,
13774,578034,2003,,in kind,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,Food aid,,,2003-04-08T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2003-09-17T00:00:00Z,1,incoming,single,,61,Denmark,single,,,3776,"Denmark, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3448,Food assistance (EMOP 10259.0),single,,IRQ-03/F01,NA,,,
13775,1525466,2003,,in kind,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,Food aid,,,2003-04-08T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2003-04-08T00:00:00Z,1,incoming,single,,112,Japan,single,,,4537,"Japan, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3448,Food assistance (EMOP 10259.0),single,,IRQ-03/F01,NA,,,
13776,1388889,2003,,in kind,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,Food aid,,,2003-04-08T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2003-04-08T00:00:00Z,1,incoming,single,,167,Norway,single,,,2930,"Norway, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3448,Food assistance (EMOP 10259.0),single,,IRQ-03/F01,NA,,,
13777,10720361,2003,,in kind,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,Food aid,,,2003-04-08T00:00:00Z,Standard,Food,TRUE,,,Traditional aid,,paid,2003-09-17T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,2917,"United Kingdom, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3448,Food assistance (EMOP 10259.0),single,,IRQ-03/F01,NA,,,
13778,526000,2003,,in kind,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,In kind - 734 MTs wheat flour; 276 MTs vegetable oil [EMOP 10128.0],,,2003-04-07T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,,,Traditional aid,,paid,2003-07-23T00:00:00Z,1,incoming,single,,157,Netherlands,single,,,3008,"Netherlands, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,184,Russian Federation,single,,,,,162,Chechnya and Neighbouring Republics 2003 - 2005,single,,,NA,NA,NA,114,Chechnya and Neighbouring Republics (RF) 2003,single,,NA,2907,Emergency food assistance to conflict-affected IDPs and vulnerable households in the North Caucasus (Revision of requirements is based upon the information from WFP/Rome),single,,RUS-03/F01,NA,NA,,
13779,422819,2003,,in kind,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,In kind - 258 MTs sugar; 161 MTs rice; 778 MTs wheat flour [EMOP 10128.0],,,2003-04-07T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,,,Traditional aid,,paid,2003-04-08T00:00:00Z,1,incoming,single,,40,Canada,single,,,2928,"Canada, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,184,Russian Federation,single,,,,,162,Chechnya and Neighbouring Republics 2003 - 2005,single,,,NA,NA,NA,114,Chechnya and Neighbouring Republics (RF) 2003,single,,NA,2907,Emergency food assistance to conflict-affected IDPs and vulnerable households in the North Caucasus (Revision of requirements is based upon the information from WFP/Rome),single,,RUS-03/F01,NA,NA,,
13781,5000000,2003,,financial,2003-04-08T00:00:00Z,2003-03-28T00:00:00Z,2003-03-28T00:00:00Z,"Non-food items, camp management and return transportation assistance for IDPs",,,2003-04-08T00:00:00Z,Standard,,TRUE,,,Traditional aid,,paid,2003-04-08T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,2986,International Organization for Migration,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,NA,NA,NA,122,Iraq Crisis 2003,single,,NA,3454,"Non-food items, camp management and return transportation assistance for IDPs",single,,IRQ-03/MS03,NA,,,
13782,200000,2003,,financial,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,Post conflict contingency planning (OTI),,,2003-04-07T00:00:00Z,Standard,,TRUE,,,Traditional aid,,commitment,2003-04-08T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,2986,International Organization for Migration,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,,,,,,,,,,,,,,,,,
13783,1500000,2003,,financial,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,Iraq Transition Iniative (OTI),,,2003-04-07T00:00:00Z,Standard,,TRUE,,,Traditional aid,,commitment,2003-04-08T00:00:00Z,1,incoming,single,,237,United States,single,,,2933,"United States of America, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,2986,International Organization for Migration,single,UN agency,24,2003,single,,,106,Iraq,single,,,,,,,,,,,,,,,,,,,,,,,,,,
13784,131387,2003,,financial,2003-04-08T00:00:00Z,2003-04-05T00:00:00Z,2003-04-05T00:00:00Z,Preparation of immediate response team,,,2003-04-07T00:00:00Z,Standard,,TRUE,180000,CHF,Traditional aid,,commitment,2003-04-08T00:00:00Z,1,incoming,single,,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26480,Coordination and support services,single,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Government,24,2003,single,,,106,Iraq,single,,,National government,,,,,,,,,,,,,,,,,,,,,,,
13785,1379350,2003,,in kind,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,In kind - 340 MTs sorghum; 875 MTs vegetable oil [EMOP 10048.1],,,2003-04-07T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,,,Traditional aid,,paid,2003-07-23T00:00:00Z,1,incoming,single,,157,Netherlands,single,,,3008,"Netherlands, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,6,Food Security,single,,3049,World Food Programme,single,UN agency,24,2003,single,,,212,Sudan,single,,,,,,,,,,NA,NA,NA,112,Sudan 2003,single,,NA,2951,Emergency food assistance to Sudanese populations affected by war and natural disasters  (Revision of requirements is based upon the information from WFP/Rome),single,,SUD-03/F01,NA,,,
13786,26190476,2003,,financial,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,"Providing medical support, repairing water and sanitation systems, dsitributing supplies to displaced people in the north, preparing for refugee assistance",,,2003-04-07T00:00:00Z,Standard,,TRUE,,,Traditional aid,,commitment,2003-04-11T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,2917,"United Kingdom, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26479,Multi-sector,single,,2967,International Committee of the Red Cross,single,Red Cross/Red Crescent,24,2003,single,,,106,Iraq,single,,,International Society,,,,,,,,,,,,,,,,,,,,,,,
13787,774509,2003,,financial,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,Provide health and other supplies,,,2003-04-07T00:00:00Z,Standard,,TRUE,,,Traditional aid,,commitment,2003-04-08T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,2917,"United Kingdom, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,7,Health,single,,2849,Save the Children,single,NGO,24,2003,single,,,106,Iraq,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
13788,410490,2003,,financial,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,Provide emergency health support and rapid health needs assessments,,,2003-04-07T00:00:00Z,Standard,,TRUE,,,Traditional aid,,commitment,2003-04-08T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,2917,"United Kingdom, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,7,Health,single,,4538,Medical Emergency Relief International,single,NGO,24,2003,single,,,106,Iraq,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
13789,340784,2003,,financial,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,Providing emergency health care and primary health care for under 5s and pregnant women,,,2003-04-07T00:00:00Z,Standard,,TRUE,,,Traditional aid,,commitment,2003-04-08T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,2917,"United Kingdom, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,7,Health,single,,4303,International Medical Corps,single,NGO,24,2003,single,,,106,Iraq,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
13790,232361,2003,,financial,2003-04-08T00:00:00Z,2003-04-07T00:00:00Z,2003-04-07T00:00:00Z,Provide supplies and shelter to elderly displaced people and their dependents,,,2003-04-07T00:00:00Z,Standard,,TRUE,,,Traditional aid,,commitment,2003-04-08T00:00:00Z,1,incoming,single,,236,United Kingdom,single,,,2917,"United Kingdom, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,4,Emergency Shelter and NFI,single,,3790,HelpAge International,single,NGO,24,2003,single,,,106,Iraq,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
