id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Emergency.organizationLevels,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.organizationSubTypes,sourceObjects_Cluster.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,sourceObjects_Plan.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.organizationSubTypes,destinationObjects_Cluster.organizationLevels,destinationObjects_Cluster.code,destinationObjects_Emergency.code,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.code
256939,2000000,,,financial,2023-01-03T11:25:26.982Z,2023-09-19T00:00:00Z,2022-08-01T00:00:00Z,"Nutrition
USAD/BHA",earmarked,,2022-08-05T00:00:00Z,Standard,USAID/BHA,TRUE,,,Traditional aid,,commitment,2023-01-03T11:25:26.982Z,2,incoming,single,SM210733      720BHA21IO00325,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Nutrition,single,,36,Burkina Faso,single,,2915,United Nations Children's Fund,single,Multilateral Organizations,44,2023,single,,UN Agencies,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256947,4500000,,,financial,2023-01-03T14:57:43.195Z,2023-06-30T00:00:00Z,2022-07-20T00:00:00Z,"CAR: Reinforcing treatment and prevention of malnutrition in Central African Rep	
Nutrition
USAID / BHA",earmarked,,2022-08-07T00:00:00Z,Standard,USAID/BHA,TRUE,,,Traditional aid,,paid,2023-02-17T13:38:25.831Z,2,incoming,single,SM220514       720BHA22IO00080,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Nutrition,single,,43,Central African Republic,single,,2915,United Nations Children's Fund,single,Multilateral Organizations,44,2023,single,,UN Agencies,International Actors,,,,,,,,,,,,,6952,Nutrition,single,,,,,,,,,1130,République Centrafricaine Plan de Réponse Humanitaire 2023,single,,,,,,,,,,,,
256972,261448,,,financial,2022-08-10T13:16:34.695Z,2020-07-01T00:00:00Z,2020-07-01T00:00:00Z,"Improved maternal and child health and nutrition levels for vulnerable, rural communities in Ombella M’Poko prefecture",,0.8045,2022-07-07T00:00:00Z,Standard,FCDO|Multi-year,TRUE,210335,GBP,Traditional aid,,paid,2022-08-10T13:16:34.695Z,1,incoming,single,205210-255BG210,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,41,2020,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,11; 9; 7,Water Sanitation Hygiene; Nutrition; Health,shared; shared; shared,NULL; NULL; NULL,43,Central African Republic,single,,1504,Concern Worldwide,single,NGOs,44,2023,single,,International NGOs,International Actors,,,,,NULL; NULL; NULL,NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256981,0,,270668|270667|256982,financial,2022-08-10T14:38:08.938Z,2022-04-01T00:00:00Z,2022-04-01T00:00:00Z,"Crisis affected boys, girls including children with disabilities (CwDs) and their families have improved protection outcomes, increased resilience and have positive coping mechanisms",earmarked,9.267,2022-07-07T00:00:00Z,Parked,Multiyear|SIDA,TRUE,0,SEK,Traditional aid,,paid,2023-02-17T10:23:58.346Z,1,incoming,shared,75202249,216,Sweden,single,,,,2921,"Sweden, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Education,single,,49,Colombia,single,,2849,Save the Children,single,NGOs,43; 44,2022; 2023,shared; shared,NULL; NULL,International NGOs,International Actors,NULL; NULL,NULL; NULL,,,,,742,VENEZUELA Outflow - Regional Refugees and Migrants,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256992,88245969,2022,264294,financial,2022-10-29T02:25:34.286Z,2021-11-18T00:00:00Z,2021-11-18T00:00:00Z,"-,Action A: Man made crisis and natural disasters,Action C: DIPECHO (ECHO/-AF/BUD/2022/91000)",,0.872,2022-08-10T00:00:00Z,Parked,Multiyear,TRUE,76950485,EUR,Traditional aid,,commitment,2023-01-05T10:13:02.638Z,2,incoming,shared,ECHO/-AF/BUD/2022/91000,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,South Sudan,single,,,,,,44; 43,2023; 2022,shared; shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256993,2145127,2022,,financial,2022-10-29T02:25:34.485Z,2021-11-18T00:00:00Z,2021-11-18T00:00:00Z,"-,Action A: Man made crisis and natural disasters,Action C: DIPECHO (ECHO/-AF/BUD/2022/91000)
COVID-19 Assistance",softly earmarked,0.872,2022-08-10T00:00:00Z,Parked,Multiyear|COVID-19 assistance,TRUE,1870551,EUR,Traditional aid,,commitment,2023-02-14T13:17:57.772Z,2,incoming,shared,ECHO/-AF/BUD/2022/91000,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,South Sudan,single,,,,,,43; 44,2022; 2023,shared; shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256994,40412677,2022,,financial,2022-10-29T02:25:34.666Z,2021-11-18T00:00:00Z,2021-11-18T00:00:00Z,"-,Action A: Man made crisis and natural disasters,Action C: DIPECHO (ECHO/-AF/BUD/2022/91000)",,0.872,2022-08-10T00:00:00Z,Parked,Multiyear,TRUE,35239854,EUR,Traditional aid,,pledge,2023-01-31T07:16:26.590Z,2,incoming,shared,ECHO/-AF/BUD/2022/91000,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,Uganda,single,,,,,,43; 44,2022; 2023,shared; shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256995,56753,2022,267033|262329|266773|262695,financial,2022-11-05T02:25:32.029Z,2022-01-05T00:00:00Z,2022-01-05T00:00:00Z,"-,Action B: Emergency Toolbox (ECHO/DRF/BUD/2022/91000)",softly earmarked,0.881,2022-08-10T00:00:00Z,Parked,Multiyear,TRUE,50000,EUR,Traditional aid,,commitment,2023-01-12T14:55:16.907Z,2,incoming,shared,ECHO/DRF/BUD/2022/91000,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Cuba,single,,,,,,44; 43,2023; 2022,shared; shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256996,908059,2022,,financial,2022-11-05T02:25:32.223Z,2022-01-05T00:00:00Z,2022-01-05T00:00:00Z,"-,Action B: Emergency Toolbox (ECHO/DRF/BUD/2022/91000)",unearmarked,0.881,2022-08-10T00:00:00Z,Parked,Multiyear,TRUE,800000,EUR,Traditional aid,,commitment,2022-12-14T07:51:36.659Z,2,incoming,shared,ECHO/DRF/BUD/2022/91000,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,India,single,,,,,,44; 43,2023; 2022,shared; shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256997,966486,2022,,financial,2022-11-05T02:25:32.403Z,2022-01-05T00:00:00Z,2022-01-05T00:00:00Z,"-,Action B: Emergency Toolbox (ECHO/DRF/BUD/2022/91000)",unearmarked,0.881,2022-08-10T00:00:00Z,Parked,Multiyear,TRUE,851474,EUR,Traditional aid,,pledge,2023-02-24T14:48:59.431Z,3,incoming,shared,ECHO/DRF/BUD/2022/91000,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,Madagascar,single,,,,,,44; 43,2023; 2022,shared; shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256998,567537,2022,,financial,2022-11-05T02:25:31.839Z,2022-01-05T00:00:00Z,2022-01-05T00:00:00Z,"-,Action B: Emergency Toolbox (ECHO/DRF/BUD/2022/91000)",unearmarked,0.881,2022-08-10T00:00:00Z,Parked,Multiyear,TRUE,500000,EUR,Traditional aid,,commitment,2022-12-14T07:52:07.938Z,2,incoming,shared,ECHO/DRF/BUD/2022/91000,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Brazil,single,,,,,,44; 43,2023; 2022,shared; shared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257062,1000566,2022,,financial,2022-08-11T16:32:03.575Z,2022-08-05T00:00:00Z,2022-07-20T00:00:00Z,"Angola: Emergency Nutrition Support for Most Drought-Affected Provinces
USAID / BHA",earmarked,,2022-08-05T00:00:00Z,Standard,USAID/BHA,TRUE,,,Traditional aid,,paid,2023-02-28T11:23:13.258Z,1,incoming,single,720BHA22IO00080,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Nutrition,single,,7,Angola,single,,2915,United Nations Children's Fund,single,Multilateral Organizations,44,2023,single,,UN Agencies,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257288,59382,,257291|257292|257289,financial,2022-08-15T14:46:12.214Z,2020-09-01T00:00:00Z,2020-09-01T00:00:00Z,promoting children's rights and quality education,,0.842,2022-07-19T00:00:00Z,Parked,Multiyear,FALSE,50000,EUR,Traditional aid,,paid,2022-08-15T14:54:23.572Z,1,incoming,shared,109-900-1116 ZG,,,,,,,2368,Misereor,single,NGOs,International NGOs,International Actors,41,2020,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,41; 42; 43; 44; 45,2020; 2021; 2022; 2023; 2024,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,International NGOs,International Actors,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257291,95012,,,financial,2022-08-15T14:51:50.709Z,2020-09-01T00:00:00Z,2020-09-01T00:00:00Z,"promoting children's rights and quality education
(2023 portion)",,0.842,2022-07-19T00:00:00Z,Standard,,FALSE,80000,EUR,Traditional aid,257288,paid,2022-08-15T14:51:50.709Z,1,incoming,single,109-900-1116 ZG,,,,,,,2368,Misereor,single,NGOs,International NGOs,International Actors,41,2020,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Education,single,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,44,2023,single,,International NGOs,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257295,0,,257297|257296,financial,2022-08-15T15:04:40.709Z,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,"Contribute to the improvement of the quality of the services of Civil Society Organizations and of the systems of prevention, protection and care of children against all forms of violence in Chad",,0.881,2022-07-19T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,paid,2022-08-15T15:07:05.481Z,1,incoming,shared,EuropeAid / 163060/DD/ACT/TD,,,,,,,8524,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,43; 44,2022; 2023,shared; shared,NULL; NULL,International NGOs,International Actors,NULL; NULL,NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257297,200908,,,financial,2022-08-15T15:06:02.578Z,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,"Contribute to the improvement of the quality of the services of Civil Society Organizations and of the systems of prevention, protection and care of children against all forms of violence in Chad
(2023 portion)",,0.881,2022-07-19T00:00:00Z,Parked,,TRUE,177000,EUR,Traditional aid,257295,paid,2022-08-15T15:06:02.578Z,1,incoming,single,EuropeAid / 163060/DD/ACT/TD,,,,,,,8524,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Protection - Child Protection,single,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,44,2023,single,,International NGOs,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257298,0,,257305|257304|257303,financial,2022-08-15T15:12:34.663Z,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,Contributing to conflict prevention and resolution and to strengthening peaceful cohesion by strengthening the capacities of youth and civil society in Chad,,0.881,2022-07-19T00:00:00Z,Parked,Multiyear|ICSP,TRUE,0,EUR,Traditional aid,,paid,2022-08-16T07:09:53.623Z,1,incoming,shared,ICSP/2021/425-403,,,,,,,12609,EC EU Instrument contributing to Stability and Peace,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,45; 44; 43,2024; 2023; 2022,shared; shared; shared,NULL; NULL; NULL,International NGOs,International Actors,NULL; NULL; NULL,NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257299,0,,257301|257300,financial,2022-08-15T15:19:03.293Z,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,Contribute to a better enjoyment of the right to land and an effective participation of civil society in the good management of land ownership,earmarked,0.881,2022-07-19T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,paid,2022-08-15T15:20:57.361Z,1,incoming,shared,EuropeAid/167688/DD/ACT/TD,110,Italy,single,,,,8524,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,43; 44,2022; 2023,shared; shared,NULL; NULL,International NGOs,International Actors,NULL; NULL,NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257301,230420,,,financial,2022-08-15T15:20:15.436Z,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,"Contribute to a better enjoyment of the right to land and an effective participation of civil society in the good management of land ownership
(2023 portion)",earmarked,0.881,2022-07-19T00:00:00Z,Standard,,TRUE,203000,EUR,Traditional aid,257299,paid,2022-08-15T15:20:15.436Z,1,incoming,single,EuropeAid/167688/DD/ACT/TD,110,Italy,single,,,,8524,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"Protection - Housing, Land and Property",single,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,44,2023,single,,International NGOs,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257302,4444063,,257306|257307|257308,financial,2022-08-15T15:27:45.226Z,2019-01-01T00:00:00Z,2019-01-01T00:00:00Z,Contribute to a better enjoyment of the right to land and an effective participation of civil society in the good management of land ownership,earmarked,0.876,2022-07-19T00:00:00Z,Parked,Multiyear,TRUE,3893000,EUR,Traditional aid,,paid,2022-08-16T07:14:38.730Z,1,incoming,shared,EuropeAid/154792/DH/ACT/Multi,110,Italy,single,,,,8524,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),single,Multilateral Organizations,Other Multilateral Organizations,International Actors,40,2019,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,40; 42; 41; 44; 43,2019; 2021; 2020; 2023; 2022,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,International NGOs,International Actors,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257304,787741,,,financial,2022-08-16T06:53:48.657Z,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,"Contributing to conflict prevention and resolution and to strengthening peaceful cohesion by strengthening the capacities of youth and civil society in Chad
(2023 portion)",,0.881,2022-07-19T00:00:00Z,Standard,,TRUE,694000,EUR,Traditional aid,257298,paid,2022-08-16T06:53:48.657Z,1,incoming,single,ICSP/2021/425-403,,,,,,,12609,EC EU Instrument contributing to Stability and Peace,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,26481,Other,single,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,44,2023,single,,International NGOs,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257308,738584,,,financial,2022-08-16T07:13:28.025Z,2019-01-01T00:00:00Z,2019-01-01T00:00:00Z,Contribute to a better enjoyment of the right to land and an effective participation of civil society in the good management of land ownership,earmarked,0.876,2022-07-19T00:00:00Z,Standard,,TRUE,647000,EUR,Traditional aid,257302,paid,2022-08-16T07:13:28.025Z,1,incoming,single,EuropeAid/154792/DH/ACT/Multi,110,Italy,single,,,,8524,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),single,Multilateral Organizations,Other Multilateral Organizations,International Actors,40,2019,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Chad,single,,1045,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),single,NGOs,44,2023,single,,International NGOs,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257333,23683,,,financial,2022-08-16T09:24:54.735Z,2022-05-12T00:00:00Z,2022-05-12T00:00:00Z,Regional Refugee and Migrant Response Plan ( RMRP) for the Venezuela Situation 2022 - Human Trafficking,softly earmarked,,2022-08-15T00:00:00Z,Standard,USA/BPRM,TRUE,,,Traditional aid,,paid,2023-02-15T14:32:11.243Z,1,incoming,single,PA96P0522/DP.2458   2986,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,26546,Protection - Human Trafficking & Smuggling,single,,13,Aruba,single,,2986,International Organization for Migration,single,Multilateral Organizations,44,2023,single,,UN Agencies,International Actors,,,,,,,742,VENEZUELA Outflow - Regional Refugees and Migrants,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257387,789347,,,financial,2022-08-16T14:10:42.949Z,2022-07-01T00:00:00Z,2022-07-01T00:00:00Z,"Chile/ER4	
Disaster Risk Reduction Policy and Practice (DRRPP)",earmarked,,2022-08-05T00:00:00Z,Standard,Multiyear|USAID/BHA,TRUE,,,Traditional aid,,paid,2022-08-16T14:10:42.949Z,1,incoming,shared,720BHA22FA00006,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Chile,single,,8484,CARITAS,single,NGOs,45; 44; 43,2024; 2023; 2022,shared; shared; shared,NULL; NULL; NULL,International NGOs,International Actors,NULL; NULL; NULL,NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257389,855000,,,financial,2022-08-16T14:16:43.612Z,2022-08-01T00:00:00Z,2022-08-01T00:00:00Z,"Palau/ER4
Disaster Risk Reduction Policy and Practice (DRRPP)",earmarked,,2022-08-05T00:00:00Z,Standard,Multiyear|USAID/BHA,TRUE,,,Traditional aid,,paid,2022-08-16T14:16:43.612Z,1,incoming,shared,720BHA22IO00138,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,Palau,single,,2986,International Organization for Migration,single,Multilateral Organizations,43; 44; 45,2022; 2023; 2024,shared; shared; shared,NULL; NULL; NULL,UN Agencies,International Actors,NULL; NULL; NULL,NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257390,600000,,,financial,2022-08-16T14:19:34.765Z,2022-07-01T00:00:00Z,2022-07-01T00:00:00Z,"Solomon Islands/ER4	
Disaster Risk Reduction Policy and Practice (DRRPP)",earmarked,,2022-08-05T00:00:00Z,Standard,Multiyear|USAID/BHA,TRUE,,,Traditional aid,,paid,2022-08-16T14:20:51.753Z,1,incoming,shared,720BHA22IO00138,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,26481,Other,single,,205,Solomon Islands,single,,1850,World Vision International,single,NGOs,46; 43; 44; 45,2025; 2022; 2023; 2024,shared; shared; shared; shared,NULL; NULL; NULL; NULL,International NGOs,International Actors,NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257416,900000,,,financial,2022-08-17T06:28:03.333Z,2022-08-01T00:00:00Z,2022-08-01T00:00:00Z,"Cameroon/CE
Humanitarian Coordination and Info Management",earmarked,,2022-08-05T00:00:00Z,Standard,Multiyear|USAID/BHA,TRUE,,,Traditional aid,,paid,2022-08-17T06:28:03.333Z,1,incoming,shared,720BHA22GR00237,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,26480,Coordination and support services,single,,39,Cameroon,single,,6865,International NGO Safety Organisation,single,NGOs,44; 43,2023; 2022,shared; shared,NULL; NULL,International NGOs,International Actors,NULL; NULL,NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257471,3595985,,,financial,2023-01-16T10:17:43.373Z,2023-09-30T00:00:00Z,2021-08-01T00:00:00Z,"Nigeria/CE- (USAID / BHA)
Health",earmarked,,2022-08-05T00:00:00Z,Standard,USAID/BHA,TRUE,,,Traditional aid,,paid,2023-01-16T10:17:43.373Z,2,incoming,single,SM210616	720BHA21IO00197,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Health,single,,163,Nigeria,single,,2915,United Nations Children's Fund,single,Multilateral Organizations,44,2023,single,,UN Agencies,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257472,3000000,,,financial,2023-01-16T10:25:01.131Z,2023-06-30T00:00:00Z,2022-07-20T00:00:00Z,"Nigeria/CE- 	Nutrition (USAID / BHA)
Nigeria: Strengthen Delivery for SAM Management and MIYCN Services in north-west",earmarked,,2022-08-05T00:00:00Z,Standard,USAID/BHA,TRUE,,,Traditional aid,,paid,2023-01-16T10:25:01.131Z,2,incoming,single,SM220518	720BHA22IO00080,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Nutrition,single,,163,Nigeria,single,,2915,United Nations Children's Fund,single,Multilateral Organizations,44,2023,single,,UN Agencies,International Actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
